NODE0; NODE1; NODE2; NODE3; NODE4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2198;13622;33546;49789;57580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121745;135945;31973;39013;56326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4317;9399;20933;47229;118243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12729;24315;42950;53281;83756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3186;52536;66347;86039;94845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4176;9889;25129;31359;120586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14660;20238;24165;48012;123738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6524;28739;51476;60609;83220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120022;8333;12061;24858;114988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5446;17487;21845;29236;73448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37519;54731;126263;130438;138674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97893;100512;108197;110967;165099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4484;10270;21123;30112;91661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8457;17883;31056;43159;90222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7492;18362;30215;34443;43419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3695;7758;10481;17485;35818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4001;8438;15493;38020;109697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6633;7380;17721;58333;109960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7553;12835;33624;41833;54372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6339;24705;42801;69955;198035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7040;11029;16585;18178;102111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186247;198506;6604;8824;17154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9052;19170;20062;24836;38063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5677;19923;25314;50040;56727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
