1204;1000;5659;;;;;;;;
1090;1000;8377;;;;;;;;
1273;1000;7985;;;;;;;;
1450;1000;9097;;;;;;;;
1120;1000;4453;;;;;;;;
3537;1000;15678;;;;;;;;
1420;1000;5355;;;;;;;;
4654;1000;7861;;;;;;Knoten;Versuch 1;Versuch 2
1256;1000;3847;;;;;;2;4180;14661
9914;1000;12620;;;;;;3;9890;20239
2393;1000;5436;;;;;;4;25132;48012
;;;;;;;;5;31360;
;;;;;;;;6;120587;
;;;;;;;;;;
;;;;4 Knoten;5 Knoten;6 Knotne;;;;
;;;;53289;27566;58891;;;;
;;;;11118;1004233;;;;;
;;;;25437;39568;;;;;
;;;;24591;;;;;;
;;;;21843;;;;;;
;;;;25349;;;;;;
