G6:S9;
3002;6041
6688;9102
1371;2295
2760;4948
4469;6587
4866;7737
3425;8061
2231;3261
5165;7193
4433;10774
2422;4621
2986;11552
5055;8223
6986;11753
3850;5392
3473;5470
5243;7908
2973;6823
1256;3342
5254;9236
6555;10359
3740;5827
6568;10040
6748;8130
3110;5426
3797;5583
6570;8057
5051;10055
4163;6055
7184;10811
3087;6694
4074;6861
1421;4406
6084;10589
3399;5518
1671;4155
5872;10546
4023;8137
2915;6035
1067;3534
3559;5667
7621;10149
778;2810
3871;11207
15484;20533
3600;5593
6374;10462
3015;5778
8505;10545
3838;10562
6870;10971
3324;5461
6455;11561
